"NAME","STREET","POST_CODE","CITY","LONGITUDE","LATITUDE","HUMIDITY_AVG","PRESSURE_AVG","TEMPERATURE_AVG","PM10_AVG","PM25_AVG","TIMESTAMP"
"SZKO?A PODSTAWOWA IM. MIKO?AJA KOPERNIKA W SERBACH","UL. OGRODOWA","67-210","SERBY","16.1064992","51.6829877","84.39999999999999","981.1333333333333","11.375","16.46666666666667","16.958333333333332","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA NR 26 W RYBNIKU","UL. GUSTAWA MORCINKA","44-273","RYBNIK","18.5462847","50.1021742","74.83333333333333","953.6999999999999","13.825000000000001","5.241666666666666","3.716666666666667","2023-11-03 09:00:00.0"
"TECHNIKUM W ZESPOLE SZK?? PRZYRODNICZO-US?UGOWYCH I BURSY SZKOLNEJ W JELENIEJ G?RZE","UL. LE?NA","58-560","JELENIA G?RA","15.7000735","50.8669637","98.83333333333333","946.4333333333334","8.741666666666667","5.391666666666667","5.716666666666666","2023-11-03 09:00:00.0"
"TECHNIKUM W GOSTYNINIE","UL. KOWALSKA","09-500","GOSTYNIN","19.4441882","52.4357395","83.30833333333334","981.1166666666667","10.833333333333334","8.016666666666667","7.208333333333333","2023-11-03 09:00:00.0"
"I LICEUM OG?LNOKSZTA?C?CE IM. MARCINA WADOWITY W WADOWICACH","UL. MICKIEWICZA","34-100","WADOWICE","19.48966","49.883822","63.18333333333334","958.0999999999999","15.075000000000001","3.9166666666666665","3.475","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA IM. MARII D?BROWSKIEJ W GROD?CU","","62-580","GRODZIEC","18.0597093","52.0381615","90.02499999999999","976.2916666666666","11.808333333333335","6.8","7.208333333333333","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA IM.JANA PAW?A II W KONARACH","UL. SZKOLNA","42-270","KONARY","19.40616951","50.9175298","84.64999999999999","959.25","10.6","4.216666666666667","3.8833333333333333","2023-11-03 09:00:00.0"
"TECHNIKUM W ZESPOLE SZK?? TECHNICZNYCH ""MECHANIK"" W JELENIEJ G?RZE","UL. OBRO?C?W POKOJU","58-500","JELENIA G?RA","15.7290772","50.9069298","91.35000000000001","950.8333333333334","9.291666666666666","10.866666666666667","9.083333333333334","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA NR 5 Z ODDZIA?AMI INTEGRACYJNYMI W TYCHACH","UL. STEFANA CZARNIECKIEGO","43-100","TYCHY","18.9817917","50.1201912","68.18333333333334","956.8083333333334","15.483333333333334","4.0249999999999995","3.1","2023-11-03 09:00:00.0"
"PUBLICZNA SZKO?A PODSTAWOWA IM. MARII KONOPNICKIEJ W RZ??NIKU W?O?CIA?SKIM","","07-311","RZ??NIK W?O?CIA?SKI","21.715940640027426","52.85219083050499 ","70.01818181818182","980.4181818181819","11.781818181818181","4.1000000000000005","3.4909090909090907","2023-11-03 09:00:00.0"
"PUBLICZNA SZKO?A PODSTAWOWA NR 1 IM. KOMISJI EDUKACJI NARODOWEJ W BIA?OBRZEGACH","UL. RZEMIE?LNICZA","26-800","BIA?OBRZEGI","20.9533613","51.64505952","70.04166666666667","978.7333333333332","12.741666666666667","4.458333333333333","3.766666666666667","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA IM. A.SASIMOWSKIEGO W BOROWIU","UL. ALEKSANDRA SASIMOWSKIEGO","08-412","BOROWIE","21.7676799","51.9488003","65.90833333333333","977.6999999999999","11.383333333333333","6.108333333333333","5.891666666666667","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA NR 3 IM. W?ADYS?AWA BRONIEWSKIEGO W ?WIEBODZICACH","?WIDNICKA","58-160","?WIEBODZICE","16.322191","50.859905","99.90000000000002","956.6999999999999","9.7","11.6","5.75","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA IM. JANUSZA KORCZAKA W GOSTOMI","","78-600","Gostomia","16.42614537","53.18950826","98.2","970.8666666666667","9.591666666666667","5.225","4.7749999999999995","2023-11-03 09:00:00.0"
"ZESP?? SZKOLNO-PRZEDSZKOLNY W ?ELISZOWIE","?ELISZ?W","59-700","?ELISZ?W","15.636493","51.188462","94.10000000000001","963.1999999999999","11.833333333333334","4.033333333333333","2.643333333333333","2023-11-03 09:00:00.0"
"ZESP?? SZK?? OG?LNOKSZTA?C?CYCH NR 14 W ZABRZU","UL. KS. DOKTORA ANTONIEGO KORCZOKA","41-840","Zabrze","18.83904135","50.30036453","62.81666666666666","956.0083333333333","14.799999999999999","5.591666666666666","5.175","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA IM. ADAMA MICKIEWICZA W DOMINIKOWICACH","","38-303","DOMINIKOWICE","21.2188105","49.6508596","70.09166666666667","958.875","11.833333333333334","3.8249999999999997","3.275","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA W ?UBNIE","","77-140","?UBNO","17.22653098","54.15365707","94.11666666666667","972.1583333333333","10.625","2.466666666666667","2.25","2023-11-03 09:00:00.0"
"I LICEUM OG?LNOKSZTA?C?CE IM. HENRYKA SIENKIEWICZA  W MALBORKU","UL. 17 MARCA","82-200","MALBORK","19.0379763","54.0361319","83.175","987.75","10.983333333333334","6.883333333333333","6.1499999999999995","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA IM. OR?A BIA?EGO W OSTR?WKU","UL. SZKOLNA","07-132","OSTR?WEK","21.68182","52.5307","68.39999999999999","982.4250000000001","11.666666666666666","8.6","7.1000000000000005","2023-11-03 09:00:00.0"
"CENTRUM KSZTA?CENIA ZAWODOWEGO I USTAWICZNEGO W NIEPO?OMICACH-BRAN?OWA SZKO?A I STOPNIA IM. KRAKOWSKIEGO BRACTWA KURKOWEGO","UL. 3 MAJA","32-005","NIEPO?OMICE","20.216084","50.035891","60.14166666666667","969.2416666666667","15.766666666666666","4.041666666666667","3.1916666666666664","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA NR 86 IM. POWSTA?C?W ?L?SKICH W KRAKOWIE","OS. OSIEDLE JAGIELLO?SKIE","31-833","KRAK?W-NOWA HUTA","20.027067","50.084753","74.575","965.5916666666667","12.525","8.841666666666667","7.075","2023-11-03 09:00:00.0"
"BRAN?OWA SZKO?A I STOPNIA NR 6 W ZESPOLE SZK?? PRZEMYS?U SPO?YWCZEGO IM. POWSTA?C?W WIELKOPOLSKICH W ?ODZI","UL. FRANCISZKA?SKA","91-845","??D?-BA?UTY","19.421884","51.7848081","78.94166666666666","965.8333333333334","11.633333333333333","2.4166666666666665","1.7916666666666667","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA W PAROWEJ","","59-724","PAROWA","15.2803958","51.36334255","86.19166666666666","970.0749999999999","10.408333333333333","14.233333333333334","12.108333333333334","2023-11-03 09:00:00.0"
"TECHNIKUM NR 1 W ZESPOLE SZK?? NR 1 IM. STANIS?AWA STASZICA W BOCHNI","UL. EDWARDA WINDAKIEWICZA","32-700","BOCHNIA","20.416325","49.966639","66.55","962.0749999999999","13.133333333333333","3.025","2.5","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA W PIOTRKOWICACH FILIA W STRUPINIE","RYNEK","55-110","STRUPINA","16.81063","51.38925","78.0","968.0","12.6","7.0","6.0","2023-11-03 09:00:00.0"
"TECHNIKUM NR 4 W ZESPOLE SZK?? GASTRONOMICZNYCH W ?ODZI","ul. Sienkiewicza Henryka","90-357","??d?","19.46442908","51.75601355","78.29166666666667","967.6833333333334","11.174999999999999","6.541666666666667","5.575","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA NR 36 IM. JOHNA BAILDONA W GLIWICACH","UL. ROBOTNICZA","44-100","GLIWICE","18.68979652","50.28995971","72.76666666666667","962.9499999999999","14.575000000000001","9.666666666666666","7.908333333333334","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA IM. M. KONOPNICKIEJ W STAREJ SOB?TCE","","99-150","Stara Sob?tka","19.03167003","52.18487542","80.875","975.9","12.075000000000001","10.299999999999999","8.866666666666667","2023-11-03 09:00:00.0"
"I LICEUM OG?LNOKSZTA?C?CE IM. MARCINA KROMERA W GORLICACH","UL. MARCINA KROMERA","38-300","GORLICE","21.155748","49.659518","70.28333333333333","959.6083333333332","11.733333333333334","5.508333333333333","4.366666666666666","2023-11-03 09:00:00.0"
